,Type,Edt Size,Mint Date,Platform,Collection Name,Collaborator/Special Type,Link,Contract Hash,Token Type,TokenID Start,Token ID End,IPFS Image,IPFS Json,Pinned?,Hosting Type
De-Fragmented,Edition,25,7/12/23,Unit London,,,https://opensea.io/collection/stored-memories,0x276Dc6BB7118353496b04BB4a16bcA1763B6FbdA,ERC-1155,2,,bafybeifyvrqpxr3z3scfb6b4cuxzkk6lrawmait3gomcgm66lfg4rlvmgu,bafyreidug4a4fn3guzquno7umjho7rigsrwcsaetfrahqmdblifoxhqxgq,Y,IPFS
Memory Loss,Edition,50,7/12/23,Unit London,,,https://opensea.io/collection/stored-memories,0x276Dc6BB7118353496b04BB4a16bcA1763B6FbdA,ERC-1155,3,,bafybeiae5jljr4ckjvnfjgxen4b7dlgjlu4o7wgqyp5v3r2hyncddpzqli,bafyreicushi2urzd7cjegnawjh4chfu2jgvbmdh34vwxkjchl2vjriny5y,Y,IPFS
Cloud Poppers Arcade Cabinet,Edition,20,7/18/23,Async,,,https://opensea.io/assets/ethereum/0xd27e3e7a0ad30be4d3aa8c5e8939a28e733dc576/1,0xd27e3e7a0ad30be4d3aa8c5e8939a28e733dc576,ERC-1155,,,QmSXscYNNmD2NqUjD7hWTmxTneYAW2QqHPRZcMYnEWYDcm,QmTc4kwVy3dsdF4c9Pghm4m5E5JwFKEiZmMPynvZwAoaeN,,IPFS
Alotta Love,Unique,1,9/2/23,Makersplace,,Trevor Jones Charity,https://opensea.io/assets/ethereum/0x1aa059a184841cffb9507fd9d4751bde9e99dc4e/0,,ERC-721,,,QmWffQiBFFkJycjgkDs3mzCQiwwzbyqcemVjCsUDRVEBwD,QmazCWTmSp5MXiqdgQpf1ceg6ZkLYV5qemiBtUgB8FiKJY,Y,IPFS
Cycle,Unique,1,10/3/23,AOTM,,,https://opensea.io/assets/ethereum/0x9494fa95d7987718da9ecef224f8520f5fa20fe3/8,,ERC-721,,,Arweave,,,Arweave
Transactional,Edition,342,11/2/23,6259 Memes,,,https://opensea.io/assets/ethereum/0x33fd426905f149f8376e227d0c9d3340aad17af1/175,,ERC-1155,,,Arweave,,,Arweave
Self-Assemblage,Unique,1,11/6/23,Christie's,,,https://opensea.io/assets/ethereum/0x9494fa95d7987718da9ecef224f8520f5fa20fe3/9,,ERC-721,,,Arweave,,,Arweave
Gm&Gns,Edition,100,1/4/24,6259 Memes Labs,,,https://opensea.io/assets/ethereum/0x4db52a61dc491e15a2f78f5ac001c14ffe3568cb/47,,ERC-1155,,,Arweave,,,Arweave
Fig 1: Identitfication,Edition,25,3/1/24,Manifold,,Morrow / Art Dubai,https://opensea.io/assets/ethereum/0x2c8868ace2fd20644c3dd1414141fd85bba41e47/1,,ERC-1155,,,Arweave,,,Arweave
Fig 2: Art,Edition,25,3/1/24,Manifold,,Morrow / Art Dubai,https://opensea.io/assets/ethereum/0x2c8868ace2fd20644c3dd1414141fd85bba41e47/2,,ERC-1155,,,Arweave,,,Arweave
